"Count","Name","Path"
"952","Az.Wvd","C:\Program Files\WindowsPowerShell\Modules\Az.Wvd"
"952","AzADX","C:\Program Files\WindowsPowerShell\Modules\AzADX"
"952","AzAiUtil","C:\Program Files\WindowsPowerShell\Modules\AzAiUtil"
"952","AzAPICall","C:\Program Files\WindowsPowerShell\Modules\AzAPICall"
"952","AzAPICallBeta","C:\Program Files\WindowsPowerShell\Modules\AzAPICallBeta"
"952","AzAppConfig","C:\Program Files\WindowsPowerShell\Modules\AzAppConfig"
"952","AzAppGatewayVisualizer","C:\Program Files\WindowsPowerShell\Modules\AzAppGatewayVisualizer"
"952","AzAppGWCert","C:\Program Files\WindowsPowerShell\Modules\AzAppGWCert"
"952","AzAppRegistrationExpiry","C:\Program Files\WindowsPowerShell\Modules\AzAppRegistrationExpiry"
"952","AzAuth","C:\Program Files\WindowsPowerShell\Modules\AzAuth"
"952","AzAutomationTools","C:\Program Files\WindowsPowerShell\Modules\AzAutomationTools"
"952","AzAutoTools","C:\Program Files\WindowsPowerShell\Modules\AzAutoTools"
"952","AZBlobBackup","C:\Program Files\WindowsPowerShell\Modules\AZBlobBackup"
"952","AzBluePrint","C:\Program Files\WindowsPowerShell\Modules\AzBluePrint"
"952","AzBobbyTables","C:\Program Files\WindowsPowerShell\Modules\AzBobbyTables"
"952","AzClassicModule","C:\Program Files\WindowsPowerShell\Modules\AzClassicModule"
"952","AzcmHelper","C:\Program Files\WindowsPowerShell\Modules\AzcmHelper"
"952","AzCostOptimization","C:\Program Files\WindowsPowerShell\Modules\AzCostOptimization"
"952","AzCostTools","C:\Program Files\WindowsPowerShell\Modules\AzCostTools"
"952","AzDanglingDomain","C:\Program Files\WindowsPowerShell\Modules\AzDanglingDomain"
"952","AzDataFactoryV2Activities","C:\Program Files\WindowsPowerShell\Modules\AzDataFactoryV2Activities"
"952","AzDataFactoryV2DataflowDependencies","C:\Program Files\WindowsPowerShell\Modules\AzDataFactoryV2DataflowDependencies"
