"Type","Name","Command"
,"pspulumiyaml.azurenative.fluidrelay",
,"pspulumiyaml.azurenative.guestconfiguration",
,"pspulumiyaml.azurenative.hanaonazure",
,"pspulumiyaml.azurenative.hardwaresecuritymodules",
,"pspulumiyaml.azurenative.hdinsight",
,"pspulumiyaml.azurenative.healthbot",
,"pspulumiyaml.azurenative.healthcareapis",
,"pspulumiyaml.azurenative.hybridcompute",
,"pspulumiyaml.azurenative.hybridconnectivity",
,"pspulumiyaml.azurenative.hybriddata",
,"pspulumiyaml.azurenative.hybridnetwork",
,"pspulumiyaml.azurenative.importexport",
,"pspulumiyaml.azurenative.insights",
,"pspulumiyaml.azurenative.intune",
,"pspulumiyaml.azurenative.iotcentral",
,"pspulumiyaml.azurenative.iotsecurity",
,"pspulumiyaml.azurenative.keyvault",
,"pspulumiyaml.azurenative.kubernetes",
,"pspulumiyaml.azurenative.kubernetesconfiguration",
,"pspulumiyaml.azurenative.kusto",
,"pspulumiyaml.azurenative.labservices",
,"pspulumiyaml.azurenative.loadtestservice",
,"pspulumiyaml.azurenative.logic",
,"pspulumiyaml.azurenative.logz",
,"pspulumiyaml.azurenative.m365securityandcompliance",
,"pspulumiyaml.azurenative.machinelearning",
,"pspulumiyaml.azurenative.machinelearningcompute",
,"pspulumiyaml.azurenative.machinelearningexperimentation",
,"pspulumiyaml.azurenative.machinelearningservices",
,"pspulumiyaml.azurenative.maintenance",
,"pspulumiyaml.azurenative.managedidentity",
,"pspulumiyaml.azurenative.managednetwork",
,"pspulumiyaml.azurenative.managedservices",
,"pspulumiyaml.azurenative.management",
,"pspulumiyaml.azurenative.managementpartner",
,"pspulumiyaml.azurenative.maps",
,"pspulumiyaml.azurenative.marketplace",
,"pspulumiyaml.azurenative.media",
,"pspulumiyaml.azurenative.migrate",
,"pspulumiyaml.azurenative.mixedreality",
,"pspulumiyaml.azurenative.mobilenetwork",
,"pspulumiyaml.azurenative.netapp",
,"pspulumiyaml.azurenative.network",
,"pspulumiyaml.azurenative.networkfunction",
,"pspulumiyaml.azurenative.notificationhubs",
,"pspulumiyaml.azurenative.offazure",
,"pspulumiyaml.azurenative.openenergyplatform",
,"pspulumiyaml.azurenative.operationalinsights",
,"pspulumiyaml.azurenative.operationsmanagement",
,"pspulumiyaml.azurenative.orbital",
,"pspulumiyaml.azurenative.peering",
,"pspulumiyaml.azurenative.policyinsights",
,"pspulumiyaml.azurenative.portal",
,"pspulumiyaml.azurenative.powerbi",
,"pspulumiyaml.azurenative.powerbidedicated",
,"pspulumiyaml.azurenative.powerplatform",
,"pspulumiyaml.azurenative.providerhub",
,"pspulumiyaml.azurenative.purview",
,"pspulumiyaml.azurenative.quantum",
,"pspulumiyaml.azurenative.recommendationsservice",
,"pspulumiyaml.azurenative.recoveryservices",
,"pspulumiyaml.azurenative.redhatopenshift",
,"pspulumiyaml.azurenative.relay",
,"pspulumiyaml.azurenative.resourceconnector",
,"pspulumiyaml.azurenative.resourcegraph",
,"pspulumiyaml.azurenative.resources",
,"pspulumiyaml.azurenative.saas",
,"pspulumiyaml.azurenative.scheduler",
,"pspulumiyaml.azurenative.scvmm",
,"pspulumiyaml.azurenative.search",
,"pspulumiyaml.azurenative.security",
,"pspulumiyaml.azurenative.securityandcompliance",
,"pspulumiyaml.azurenative.securityinsights",
,"pspulumiyaml.azurenative.serialconsole",
